Model,Horizon,MAE,RMSE,R2,MBE,IA
Arch3_GNN_LSTM,12,4.2389,6.0509,0.4803,1.1476,0.8318
Arch3_GNN_LSTM,13,4.3692,6.2201,0.4523,1.2168,0.8221
Arch3_GNN_LSTM,14,4.5214,6.3823,0.4246,1.2472,0.8112
Arch3_GNN_LSTM,15,4.5643,6.4681,0.4098,1.1356,0.8006
Arch3_GNN_LSTM,16,4.5793,6.4903,0.4061,1.0041,0.7915
Arch3_GNN_LSTM,17,4.6329,6.555,0.395,1.0089,0.7823
Arch3_GNN_LSTM,18,4.7313,6.6497,0.3774,1.2504,0.7772
Arch3_GNN_LSTM,19,4.8403,6.7248,0.3632,1.5119,0.7702
Arch3_GNN_LSTM,20,4.8955,6.769,0.3556,1.6123,0.7665
Arch3_GNN_LSTM,21,5.0086,6.8617,0.3388,1.8515,0.7599
Arch3_GNN_LSTM,22,4.9329,6.8004,0.3519,1.6215,0.7587
Arch3_GNN_LSTM,23,5.035,6.8611,0.3415,1.8862,0.7608
Arch3_GNN_LSTM,24,5.0139,6.8293,0.3467,1.7109,0.7498
Arch3_Stacking,1,1.1707,1.8796,0.95,0.1821,0.9872
Arch3_Stacking,2,1.8428,2.8401,0.8859,0.3327,0.9694
Arch3_Stacking,3,2.345,3.5457,0.822,0.5697,0.9514
Arch3_Stacking,4,2.7609,4.0836,0.7635,0.694,0.9337
Arch3_Stacking,5,3.0753,4.4952,0.7128,0.9456,0.9193
Arch3_Stacking,6,3.3508,4.8639,0.6631,1.0815,0.904
Arch3_Stacking,7,3.5746,5.166,0.6193,1.1792,0.8893
Arch3_Stacking,8,3.7983,5.4321,0.5787,1.4388,0.8789
Arch3_Stacking,9,3.9617,5.6209,0.5484,1.5424,0.8669
Arch3_Stacking,10,4.175,5.9167,0.4997,1.7265,0.8519
Arch3_Stacking,11,4.3341,6.0792,0.4723,2.0037,0.8467
Arch3_Stacking,12,4.4502,6.2378,0.4451,1.9649,0.8317
Arch3_Stacking,13,4.6127,6.4675,0.4047,1.9029,0.8108
